x,y,mag,time
-1042.557708,344.6650144,3.1,36714
-980.1809831,290.8354349,3.1,36714
-1044.507937,364.5730614,3.8,36714
-1028.766593,361.5701716,3.8,36715
-1021.64419,358.2336274,4.5,36715
-1040.967422,363.5720981,3.7,36715
-1031.008853,322.5326046,3.4,36715
-966.3863326,312.0780995,3.5,36715
-1044.795126,331.3188376,3.9,36715
-1056.124578,354.8970832,4.2,36715
-970.6304656,318.083879,3.9,36715
-1011.200733,293.5046702,3.6,36715
-1035.828134,312.1893176,3.4,36715
-1056.758167,329.3169111,3.4,36715
-1037.778999,362.682353,3.5,36715
-1000.474138,343.552833,4.2,36715
-1037.672099,356.342919,3.4,36715
-1036.800222,324.0896586,3.2,36715
-1032.654601,361.125299,4.3,36715
-1044.774815,370.2451865,3.7,36715
-990.4860285,324.7569674,4.6,36715
-977.1281492,308.6303372,4.2,36715
-1007.312269,286.8315818,3.7,36715
-990.5715745,285.7194004,3.5,36715
-772.7549576,175.5022242,4.1,36715
-1003.92587,353.89612,3.5,36716
-1006.4013,343.7752693,3.9,36716
-1041.0575,353.89612,3.5,36716
-972.1074297,335.5451269,4.2,36716
-1039.347567,360.1243358,4.2,36716
-1025.502856,350.6707939,3.5,36716
-1038.10331,309.0752097,3.5,36716
-1036.123394,339.9938525,3.8,36716
-1030.100697,276.3770767,3.7,36716
-1041.298029,364.6842795,5.3,36716
-1009.634108,309.7425186,4,36717
-1043.879599,350.7820121,3.3,36717
-1035.507637,333.209546,4.9,36717
-1026.850654,342.6630879,3.4,36717
-1031.198391,329.0944749,4,36717
-1027.243447,289.0559446,3.7,36717
-1032.223546,353.5624655,4.7,36717
-1038.654523,354.1185562,4.8,36717
-1049.814066,329.0944749,3.4,36717
-1031.161337,329.4281293,3.6,36717
-1026.484614,357.4551004,4.3,36717
-1034.899975,363.9057525,4.4,36717
-1046.515083,363.7945344,4.8,36717
-1038.748905,360.5692083,4.9,36717
-1033.533283,364.6842795,4.8,36717
-1026.300225,366.4637697,3.5,36717
-1053.34298,355.2307376,3.9,36717
-1008.901403,333.4319823,4.5,36717
-1007.839346,302.5133395,3.2,36718
-1035.084381,348.4464311,3.3,36718
-1026.810722,364.3506251,4.1,36718
-1041.466716,351.8941935,4.8,36718
-1031.112102,348.7800855,3.7,36718
-1042.707616,368.3544781,3.9,36718
-998.6009837,340.5499432,4.6,36718
-1048.40634,339.1041074,3.1,36718
-1030.459424,338.2143623,3.3,36718
-1038.698916,370.690059,4.8,36718
-1006.78443,317.4165702,3.1,36718
-1031.046381,351.0044483,3.3,36718
-1030.784359,350.8932302,4.1,36719
-967.7060141,279.6024028,5.2,36719
-975.1239127,272.9293144,5,36719
-975.5754556,310.2986093,4.2,36719
-984.2170873,313.7463716,3.9,36719
-979.7364178,280.9370204,4.5,36719
-998.3204127,334.6553818,3.7,36719
-971.3014625,352.7839386,3.4,36719
-1043.183135,359.3458088,3.1,36719
-1056.94391,333.3207642,4.1,36720
-1012.205976,343.4416148,3.5,36720
-1020.094846,302.2909032,3.5,36720
-1004.083653,307.5181558,3.7,36720
